ntd_id,agency,reporter_type,organization_type,city,state,report_year,agency_voms,uace_code,uza_name,primary_uza_area_sq_miles,primary_uza_population,service_area_sq_miles,service_area_population,actual_vehicle_passenger_car_miles,actual_vehicle_passenger_car_revenue_miles,actual_vehicle_passenger_car_deadhead_miles,scheduled_vehicle_passenger_car_revenue_miles,actual_vehicle_passenger_car_hours,actual_vehicle_passenger_car_revenue_hours,actual_vehicle_passenger_car_deadhead_hours,charter_service_hours,school_bus_hours,trains_in_operation,train_miles,train_revenue_miles,train_deadhead_miles,train_hours,train_revenue_hours,train_deadhead_hours,unlinked_passenger_trips_upt,ada_upt,sponsored_service_upt,passenger_miles_traveled,directional_route_miles
41,Alaska Railroad Corporation,Full Reporter,State Government Unit or Department of Transportation,Anchorage,AK,2022,60.0,2305.0,"Anchorage, AK",91.69,249252.0,266.0,352701.0,1142075.0,1131787.0,10288.0,1142465.0,44797.0,42677.0,2120.0,,,0.0,189590.0,187951.0,1639.0,7737.0,7400.0,337.0,219757.0,,,27580278.0,959.92
41,Alaska Railroad Corporation,Full Reporter,State Government Unit or Department of Transportation,Anchorage,AK,2023,61.0,2305.0,"Anchorage, AK",91.69,249252.0,266.0,352701.0,1214515.0,1203718.0,10797.0,1204076.0,47432.0,45230.0,2202.0,,,0.0,194150.0,192461.0,1689.0,7928.0,7581.0,347.0,225434.0,,,27930710.0,959.93
41,Alaska Railroad Corporation,Full Reporter,State Government Unit or Department of Transportation,Anchorage,AK,2024,59.0,2305.0,"Anchorage, AK",91.69,249252.0,266.0,352701.0,1293986.0,1282149.0,11837.0,1284929.0,50624.0,48214.0,2410.0,,,,194870.0,193175.0,1695.0,7948.0,7600.0,348.0,234699.0,,,29263348.0,959.93
143,"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service",Reduced Reporter,Tribe,Mountain Village,AK,2023,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,413.0,0.0,0.0,0.0,37.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,110.0,,0.0,0.0,0.0
143,"Asa'carsarmiut Tribe, dba: Asa'carsarmiut Tribal Council Transit Service",Reduced Reporter,Tribe,Mountain Village,AK,2024,1.0,2.0,Alaska Non-UZA,0.0,359299.0,,,,5834.0,,,,436.0,,,,,,,,,,,1683.0,,0.0,,
354,"Catholic Community Service, Sitka",Rural Reporter,Private-Non-Profit Corporation,Juneau,AK,2022,3.0,,,,,,,0.0,13979.0,0.0,0.0,0.0,1822.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2590.0,,39.0,0.0,0.0
354,"Catholic Community Service, Sitka, dba: Catholic Community Service",Rural Reporter,Private-Non-Profit Corporation,Juneau,AK,2023,3.0,,,0.0,,,,0.0,9352.0,0.0,0.0,0.0,2262.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,3326.0,,15.0,0.0,0.0
354,"Catholic Community Service, Sitka, dba: Catholic Community Service",Rural Reporter,Private-Non-Profit Corporation,Juneau,AK,2024,3.0,,,0.0,,,,,17995.0,,,,2148.0,,,,,,,,,,,3222.0,,0.0,,
378,"Central Area Rural Transit System, Inc.",Rural Reporter,Private-Non-Profit Corporation,Soldotna,AK,2022,24.0,,,,,,,0.0,265033.0,0.0,0.0,0.0,20754.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,27350.0,,1548.0,0.0,0.0
378,"Central Area Rural Transit System, Inc., dba: Central Area Rural Transit System",Rural Reporter,Private-Non-Profit Corporation,Soldotna,AK,2023,25.0,,,0.0,,,,0.0,214810.0,0.0,0.0,0.0,14153.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,28357.0,,2392.0,0.0,0.0
378,"Central Area Rural Transit System, Inc., dba: Central Area Rural Transit System",Rural Reporter,Private-Non-Profit Corporation,Soldotna,AK,2024,22.0,,,0.0,,,,,209729.0,,,,15031.0,,,,,,,,,,,29117.0,,3960.0,,
30,Chickaloon Native Village,Reduced Reporter,Tribe,Palmer,AK,2022,2.0,2.0,Alaska Non-UZA,0.0,359299.0,,,0.0,29909.0,0.0,0.0,0.0,2016.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2171.0,,0.0,0.0,0.0
