"NTD ID","Agency","Reporter Type","Organization Type","City","State","Report Year","Agency VOMS","UACE Code","UZA Name","Primary UZA Area Sq Miles","Primary UZA Population","Service Area Sq Miles","Service Area Population","Actual Vehicle/Passenger Car Miles","Actual Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Deadhead Miles","Scheduled Vehicle/Passenger Car Revenue Miles","Actual Vehicle/Passenger Car Hours","Actual Vehicle/Passenger Car Revenue Hours","Actual Vehicle/Passenger Car Deadhead Hours","Charter Service Hours","School Bus Hours","Trains in Operation","Train Miles","Train Revenue Miles","Train Deadhead Miles","Train Hours","Train Revenue Hours","Train Deadhead Hours","Unlinked Passenger Trips (UPT)","ADA UPT","Sponsored Service UPT","Passenger Miles Traveled","Directional Route Miles"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","Seattle","WA","2024","2,352","80389","Seattle--Tacoma, WA","982.52","3,544,011","2,134","2,347,800","58,611,768","51,647,619","8,257,744","34,796,575","4,978,233","4,446,023","587,253","2,573","0",,"179,869","174,111","5,758","38,131","36,694","1,437","88,638,711","830,198","0","338,032,801","372.83"
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","Spokane","WA","2024","316","83764","Spokane, WA","171.67","447,279","248","475,470","11,711,501","10,727,633","983,868","7,153,594","765,674","718,595","47,079",,,,,,,,,,"10,661,102","390,956",,"51,565,669",
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Lakewood","WA","2024","416","80389","Seattle--Tacoma, WA","982.52","3,544,011","292","575,963","11,670,189","10,413,088","1,257,101","4,529,015","773,977","693,465","80,512","0","0",,,,,,,,"7,497,585","267,447","0","44,860,977","11.06"
"00004","Confederated Tribes of the Colville Indian Reservation","Reduced Reporter","Tribe","Nespelem","WA","2024","5","00053","Washington Non-UZA","0","1,895,776",,,,"80,551",,,,"7,165",,,,,,,,,,,"139,689",,,,
"00005","City of Everett, dba: Everett Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Everett","WA","2024","50","80389","Seattle--Tacoma, WA","982.52","3,544,011","34","111,180","1,901,984","1,686,373","215,611","1,276,154","156,493","145,539","10,954","0","0",,,,,,,,"1,835,207","73,884",,"6,241,979",
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Yakima","WA","2024","43","97507","Yakima, WA","55.77","133,145","33","100,716","1,242,638","1,145,396","97,242","904,133","90,132","83,421","6,711","0","0",,,,,,,,"740,913","53,347","0","4,058,120",
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","Eugene","OR","2024","141","28117","Eugene, OR","73.49","270,179","482","327,173","4,223,419","6,244,897","403,417","2,882,738","327,197","394,175","31,975","0","0",,,,,,,,"6,724,989","111,123","272,993","25,136,729","28.02"
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","Portland","OR","2024","804","71317","Portland, OR--WA","519.3","2,104,238","376","1,512,100","36,925,501","33,729,271","4,086,257","28,460,221","3,039,267","2,843,951","227,369","0","0",,"3,894,184","3,832,766","61,418","283,546","278,711","4,835","64,748,819","631,041","0","252,692,511","160.17"
"00010","Klamath Tribes, dba: Quail Trail","Reduced Reporter","Tribe","Chiloquin","OR","2024","7","00041","Oregon Non-UZA","0","1,553,447",,,,"168,721",,,,"6,463",,,,,,,,,,,"12,700",,"0",,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","Anchorage","AK","2024","186","02305","Anchorage, AK","91.69","249,252","77","291,247","5,610,813","5,346,930","263,883","2,400,062","328,146","309,256","18,890",,,,,,,,,,"3,440,532","61,682",,"22,647,790",
"00014","Sitka Tribe of Alaska","Reduced Reporter","Tribe","Sitka","AK","2024","3","00002","Alaska Non-UZA","0","359,299",,,,"139,825",,,,"9,867",,,,,,,,,,,"61,391",,,,
"00015","Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Reduced Reporter","Tribe","Snoqualmie","WA","2024","2","00053","Washington Non-UZA","0","1,895,776",,,,"19,162",,,,"1,487",,,,,,,,,,,"904",,"748",,
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","Longview","WA","2024","22","51283","Longview, WA--OR","35.19","69,841","31","61,598","524,170","497,601","26,569","365,240","47,117","44,432","2,685","0","0",,,,,,,,"307,801","36,301","0","1,157,063",
"00017","Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Reduced Reporter","Tribe","Arlington","WA","2024","5","00053","Washington Non-UZA","0","1,895,776",,,,"30,337",,,,"989",,,,,,,,,,,"4,020",,"775",,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","Richland","WA","2024","294","44479","Kennewick--Richland--Pasco, WA","112.21","255,401","624","287,689","8,939,436","8,392,560","546,876","3,694,565","472,962","434,503","38,459","30",,,,,,,,,"3,526,576","262,885",,"26,983,976",
